BI,BV,AI,AV   prendi BI e BV
-96.7070E-3,-2.2000E+0,9.1290E-3,000.0000E-3
-95.8085E-3,-2.1900E+0,9.0506E-3,000.0000E-3
-94.9099E-3,-2.1800E+0,8.9480E-3,000.0000E-3
-94.0098E-3,-2.1700E+0,8.8788E-3,000.0000E-3
-93.1032E-3,-2.1600E+0,8.8167E-3,000.0000E-3
-92.1829E-3,-2.1500E+0,8.7271E-3,000.0000E-3
-91.2708E-3,-2.1400E+0,8.6264E-3,000.0000E-3
-90.3831E-3,-2.1300E+0,8.5655E-3,000.0000E-3
-89.4739E-3,-2.1200E+0,8.4876E-3,000.0000E-3
-88.5572E-3,-2.1100E+0,8.4100E-3,000.0000E-3
-87.6359E-3,-2.1000E+0,8.3472E-3,000.0000E-3
-86.7237E-3,-2.0900E+0,8.2811E-3,000.0000E-3
-85.8049E-3,-2.0800E+0,8.1915E-3,000.0000E-3
-84.8893E-3,-2.0700E+0,8.1026E-3,000.0000E-3
-83.9742E-3,-2.0600E+0,8.0474E-3,000.0000E-3
-83.0627E-3,-2.0500E+0,7.9863E-3,000.0000E-3
-82.1884E-3,-2.0400E+0,7.8939E-3,000.0000E-3
-81.3352E-3,-2.0300E+0,7.8300E-3,000.0000E-3
-80.4235E-3,-2.0200E+0,7.7578E-3,000.0000E-3
-79.5084E-3,-2.0100E+0,7.6768E-3,000.0000E-3
-78.5922E-3,-2.0000E+0,7.5980E-3,000.0000E-3
-77.6725E-3,-1.9900E+0,7.5065E-3,000.0000E-3
-76.7571E-3,-1.9800E+0,7.4306E-3,000.0000E-3
-75.8422E-3,-1.9700E+0,7.3624E-3,000.0000E-3
-74.9240E-3,-1.9600E+0,7.2898E-3,000.0000E-3
-74.0097E-3,-1.9500E+0,7.2008E-3,000.0000E-3
-73.0947E-3,-1.9400E+0,7.1207E-3,000.0000E-3
-72.1809E-3,-1.9300E+0,7.0535E-3,000.0000E-3
-71.2634E-3,-1.9200E+0,6.9779E-3,000.0000E-3
-70.3473E-3,-1.9100E+0,6.8750E-3,000.0000E-3
-69.4355E-3,-1.9000E+0,6.8001E-3,000.0000E-3
-68.5295E-3,-1.8900E+0,6.7383E-3,000.0000E-3
-67.6224E-3,-1.8800E+0,6.6578E-3,000.0000E-3
-66.7115E-3,-1.8700E+0,6.5788E-3,000.0000E-3
-65.7995E-3,-1.8600E+0,6.4966E-3,000.0000E-3
-64.8903E-3,-1.8500E+0,6.4214E-3,000.0000E-3
-63.9847E-3,-1.8400E+0,6.3298E-3,000.0000E-3
-63.0813E-3,-1.8300E+0,6.2550E-3,000.0000E-3
-62.1795E-3,-1.8200E+0,6.1833E-3,000.0000E-3
-61.2740E-3,-1.8100E+0,6.0985E-3,000.0000E-3
-60.3749E-3,-1.8000E+0,6.0205E-3,000.0000E-3
-59.4764E-3,-1.7900E+0,5.9397E-3,000.0000E-3
-58.5813E-3,-1.7800E+0,5.8685E-3,000.0000E-3
-57.6852E-3,-1.7700E+0,5.7954E-3,000.0000E-3
-56.7919E-3,-1.7600E+0,5.7147E-3,000.0000E-3
-55.8991E-3,-1.7500E+0,5.6415E-3,000.0000E-3
-55.0139E-3,-1.7400E+0,5.5683E-3,000.0000E-3
-54.1243E-3,-1.7300E+0,5.4881E-3,000.0000E-3
-53.2389E-3,-1.7200E+0,5.4162E-3,000.0000E-3
-52.3520E-3,-1.7100E+0,5.3412E-3,000.0000E-3
-51.4977E-3,-1.7000E+0,5.2673E-3,000.0000E-3
-50.6142E-3,-1.6900E+0,5.1875E-3,000.0000E-3
-49.7320E-3,-1.6800E+0,5.1102E-3,000.0000E-3
-48.8535E-3,-1.6700E+0,5.0369E-3,000.0000E-3
-47.9763E-3,-1.6600E+0,4.9546E-3,000.0000E-3
-47.1015E-3,-1.6500E+0,4.8745E-3,000.0000E-3
-46.2269E-3,-1.6400E+0,4.8018E-3,000.0000E-3
-45.3533E-3,-1.6300E+0,4.7243E-3,000.0000E-3
-44.4799E-3,-1.6200E+0,4.6517E-3,000.0000E-3
-43.6109E-3,-1.6100E+0,4.5746E-3,000.0000E-3
-42.7401E-3,-1.6000E+0,4.4969E-3,000.0000E-3
-41.8686E-3,-1.5900E+0,4.4220E-3,000.0000E-3
-40.9993E-3,-1.5800E+0,4.3449E-3,000.0000E-3
-40.1278E-3,-1.5700E+0,4.2713E-3,000.0000E-3
-39.2545E-3,-1.5600E+0,4.1925E-3,000.0000E-3
-38.3802E-3,-1.5500E+0,4.1192E-3,000.0000E-3
-37.5050E-3,-1.5400E+0,4.0501E-3,000.0000E-3
-36.6212E-3,-1.5300E+0,3.9735E-3,000.0000E-3
-35.7341E-3,-1.5200E+0,3.9042E-3,000.0000E-3
-34.8383E-3,-1.5100E+0,3.8364E-3,000.0000E-3
-33.9274E-3,-1.5000E+0,3.7660E-3,000.0000E-3
-32.9944E-3,-1.4900E+0,3.6987E-3,000.0000E-3
-32.0298E-3,-1.4800E+0,3.6362E-3,000.0000E-3
-31.0213E-3,-1.4700E+0,3.5733E-3,000.0000E-3
-29.9757E-3,-1.4600E+0,3.5177E-3,000.0000E-3
-28.9551E-3,-1.4500E+0,3.4623E-3,000.0000E-3
-28.0238E-3,-1.4400E+0,3.3969E-3,000.0000E-3
-27.1682E-3,-1.4300E+0,3.3211E-3,000.0000E-3
-26.3656E-3,-1.4200E+0,3.2480E-3,000.0000E-3
-25.6004E-3,-1.4100E+0,3.1772E-3,000.0000E-3
-24.8598E-3,-1.4000E+0,3.0960E-3,000.0000E-3
-24.1394E-3,-1.3900E+0,3.0155E-3,000.0000E-3
-23.4396E-3,-1.3800E+0,2.9401E-3,000.0000E-3
-22.7515E-3,-1.3700E+0,2.8584E-3,000.0000E-3
-22.0783E-3,-1.3600E+0,2.7803E-3,000.0000E-3
-21.4361E-3,-1.3500E+0,2.7033E-3,000.0000E-3
-20.7829E-3,-1.3400E+0,2.6234E-3,000.0000E-3
-20.1381E-3,-1.3300E+0,2.5417E-3,000.0000E-3
-19.5035E-3,-1.3200E+0,2.4631E-3,000.0000E-3
-18.8780E-3,-1.3100E+0,2.3850E-3,000.0000E-3
