drain TotalCurrent(nch33_vt_des) X,drain TotalCurrent(nch33_vt_des) Y
0,2.3735823e-20
0,3.2501022e-20
0,1.5381006e-13
0,3.0450726e-13
0,4.0160826e-13
0,4.2612019e-13
0,4.3573524e-13
0,4.5065535e-13
0,4.5562958e-13
0,4.6184568e-13
0,4.6875968e-13
0,4.7678959e-13
0,4.8917118e-13
0,4.9498263e-13
0.02,8.1268207e-13
0.056,1.9986929e-12
0.096,5.4937564e-12
0.136,1.528205e-11
0.176,4.3019954e-11
0.2,8.0495249e-11
0.24,2.3067134e-10
0.28,6.6723816e-10
0.32,1.9438437e-09
0.36,5.6850413e-09
0.4,1.6605594e-08
0.44,4.7978505e-08
0.48,1.3454252e-07
0.52,3.5410027e-07
0.56,8.3830689e-07
0.6,1.7354881e-06
0.64,3.1469857e-06
0.68,5.1060613e-06
0.72,7.5992561e-06
0.76,1.0591686e-05
0.8,1.4041956e-05
0.84,1.7908948e-05
0.88,2.2154456e-05
0.92,2.6743953e-05
0.96,3.1646581e-05
1,3.6834902e-05
1.04,4.2284468e-05
1.08,4.7973438e-05
1.12,5.3882246e-05
1.16,5.9993265e-05
1.2,6.6290566e-05
1.24,7.2759678e-05
1.28,7.9387345e-05
1.32,8.6161467e-05
1.36,9.3070853e-05
1.4,0.0001001051
1.44,0.00010725439
1.48,0.00011450949
1.52,0.00012186174
1.56,0.0001293028
1.6,0.00013682451
1.64,0.00014441887
1.68,0.00015207793
1.72,0.00015979363
1.76,0.00016755776
1.8,0.0001753619
1.84,0.00018319725
1.88,0.00019105459
1.92,0.00019892448
1.96,0.00020679708
2,0.00021466228

