anode TotalCurrent(zen_on_des) X,anode TotalCurrent(zen_on_des) Y
0,-1.8853786e-17
0,-4.2125153e-19
0,4.1267741e-19
0.022,9.965654e-14
0.063066667,4.2281205e-13
0.11806667,1.4450329e-12
0.17306667,4.3176918e-12
0.22,1.0770183e-11
0.275,3.1785529e-11
0.33,9.6823469e-11
0.385,3.089379e-10
0.44,1.0494548e-09
0.495,3.9125657e-09
0.55,1.6865142e-08
0.605,8.8467261e-08
0.66,5.6425008e-07
0.715,4.12362e-06
0.77,3.2094286e-05
0.825,0.00023877544
0.83111111,0.00029343401
0.8412963,0.00040912055
0.8582716,0.00069132309


